Addresse,Code_insee,Departement,Latitude,Longitude,MinDistGar,MoyDistGar,train,rer,metro,tramway,Distance,DurationPoliceMin
77145,77145,77,49.067345700000004,3.0322264,3.5213006939919778,60.32965175353306,1,0,0,0,16.17068170270717,0.38805555555555554
78120,78120,78,48.6386217,1.8379762,0.7251425782783972,48.51231582807337,1,0,0,0,1.5131964890297962,0.12
78950,78950,78,48.777887299999996,1.6754046000000002,5.710544982587689,53.57531992707334,1,0,0,0,18.067832316305925,0.37
91490,91490,91,48.4132088,2.4724487,6.243510222567075,53.15294382922588,0,1,0,0,21.86835049067407,0.43777777777777777
95640,95640,95,49.1463963,1.976397,3.2267301696043464,47.15088401917614,1,0,0,0,14.416980308078298,0.36694444444444446
Abbéville-la-Rivière 91150,91150,91,48.3463691,2.16588,8.453762515333457,60.61003544612689,1,0,0,0,10.133372188783914,0.22916666666666666
Ableiges 95450,95450,95,49.0901646,1.9812325,1.3126724889871793,42.65090290633407,1,0,0,0,8.417462400900602,0.26361111111111113
Ablis 78660,78660,78,48.517153,1.8368758,9.047794805964962,56.249523118428684,1,0,0,0,14.626063194548117,0.2841666666666667
Ablon-sur-Seine 94480,94480,94,48.724758200000004,2.421509,0.16710531323468994,25.55708568009074,0,1,0,0,2.254453267410715,0.14805555555555555
Achères 78260 (Centre-ville - Cité de la Barricade),78260,78,48.9612,2.0688,1.2392253531630744,30.813815874002426,1,1,0,0,4.016793602404162,0.17194444444444446
Achères 78260 (Champs de Villars - Le Magasin - Gare - Petite-Arche),78260,78,48.9612,2.0688,1.2392253531630744,30.813815874002426,1,1,0,0,4.016793602404162,0.17194444444444446
Achères 78260 (Chêne Feuillu),78260,78,48.949571,2.0686077000000003,1.9365555946907897,30.33932239766452,0,1,0,0,3.1388541835359587,0.15861111111111112
Achères 78260 (La Porte-de-Seine - La Croix d'Achères - Les Communes),78260,78,48.9612,2.0688,1.2392253531630744,30.813815874002426,1,1,0,0,4.016793602404162,0.17194444444444446
Achères 78260 (Montsouris),78260,78,48.958622399999996,2.0728058999999996,1.3869718776715794,30.505850931112406,1,1,0,0,4.148286497190118,0.17277777777777778
Adainville 78113,78113,78,48.722339399999996,1.6514131999999997,8.942741993109518,56.43633198949688,1,0,0,0,15.11673214273434,0.36277777777777775
Aigremont 78240,78240,78,48.9038131,2.0195357,3.635835664041105,31.627460083289293,1,1,0,0,3.092613070945283,0.16111111111111112
Aincourt 95510,95510,95,49.0719037,1.7719759999999998,9.915661143607922,52.54224975773508,1,0,0,0,19.366990450193132,0.5361111111111111
Alfortville 94140,94140,94,48.8051624,2.4197113,0.6060122892830039,21.107359273569504,0,1,0,0,0.49045121669772107,0.04583333333333333
Alfortville 94140 (Mairie - Gare),94140,94,48.8018729,2.4261337000000003,0.032270388686227336,21.417718733978795,0,1,0,0,0.8620793492819868,0.1025
Alfortville 94140 (Zola Carnot - Alouettes - Val de Seine),94140,94,48.8058,2.4204,0.611228168091529,21.101421242979715,0,1,0,0,0.5428174583077745,0.09555555555555556
Allainville 78660,78660,78,48.4568654,1.8959608000000001,8.705001101514174,58.244260739276264,1,0,0,0,21.95591666671044,0.3927777777777778
Amenucourt 95510,95510,95,49.1067288,1.6432239,8.800630239141723,62.03325268437845,1,0,0,0,29.509627769678325,0.58
Andilly 95580,95580,95,49.005362,2.2988964,2.9199260219759657,26.327486629704534,1,0,0,0,4.072824279872213,0.24333333333333335
Andrezel 77390,77390,77,48.6112435,2.8135847000000003,3.781840794061722,48.340197690795456,1,0,0,0,13.606278369509337,0.33694444444444444
Andrésy 78570 (Charvaux),78570,78,48.9889911,2.050944,0.6820915800317058,33.012268273458,1,0,0,0,3.1702616668286487,0.13444444444444445
Andrésy 78570 (Denouval),78570,78,48.96467929999999,2.0444471,1.1778051618634402,32.179882840970315,1,0,0,0,4.221643030077016,0.15611111111111112
Andrésy 78570 (Gare - Valences - Marottes - Ponceau),78570,78,48.9761,2.0326,0.738160196788096,33.29040859422758,1,0,0,0,4.87037985251475,0.19777777777777777
Andrésy 78570 (L'Aiglon - Rive Gauche - Fin d'Oise - Pont de Conflans),78570,78,48.9761,2.0326,0.738160196788096,33.29040859422758,1,0,0,0,4.87037985251475,0.19777777777777777
Andrésy 78570 (Village - Les Iles - Renardière),78570,78,48.9761,2.0326,0.738160196788096,33.29040859422758,1,0,0,0,4.87037985251475,0.19777777777777777
Angerville 91670,91670,91,48.3106704,1.9979775000000002,0.417334080711617,67.79606265613992,1,0,0,0,18.711993918886325,0.2886111111111111
Angervilliers 91470,91470,91,48.59263,2.06433,6.32983551950938,40.93522301363984,0,1,0,0,12.780366326179717,0.3552777777777778
Annet-sur-Marne 77410,77410,77,48.9263555,2.7189327000000003,5.002124118182711,36.08627248742946,1,0,0,0,5.68862725557907,0.28444444444444444
Antony 92160,92160,92,48.753554,2.2959423,0.4019584601033372,23.003390402241337,0,1,0,0,0.791844186837754,0.08277777777777778
Antony 92160 (Baconnets),92160,92,48.7396044,2.2874034,0.021212552552049097,24.015152968400443,0,1,0,0,2.4506288146087734,0.17305555555555555
Antony 92160 (Centre-ville),92160,92,48.753554,2.2959423,0.4019584601033372,23.003390402241337,0,1,0,0,0.791844186837754,0.08277777777777778
Antony 92160 (Croix de Berny),92160,92,48.762474,2.3046259,0.091588077690855,22.35784388494577,0,1,0,0,0.5604176660059215,0.059722222222222225
Antony 92160 (Rabats),92160,92,48.742636499999996,2.3096723999999997,0.6308909748227104,23.585116978932668,0,1,0,0,2.186838270565602,0.17666666666666667
Arbonne-la-Forêt 77630,77630,77,48.4123357,2.5667447,11.631338306961243,54.80337519619,1,0,0,0,9.935699485762893,0.19777777777777777
Arcueil 94110 (Barbusse),94110,94,48.8077519,2.3368387000000004,0.19227524760360332,19.77414756406605,0,1,0,0,0.682543747427589,0.09916666666666667
Arcueil 94110 (Joliot Curie),94110,94,48.7999,2.3326,0.34649495963162724,20.14237727328214,0,1,0,0,1.1630174445708845,0.09166666666666666
