,Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
31,31,PA75_32,Paris 13e 75013 (Patay - Masséna),"Achat maison 6 pièces 226 m², Paris 13e - 1 750 000 €",1 750 000 €,226 m²,6 pièces,4 chambres,,Jardin,,Terrasse,,7 434 €/m²,Réf. de l’annonce : TE3-1412,Publiée le 1 déc. 2020,Modifiée le 3 déc. 2020,Descriptif de cette maison à vendre de 6 pièces et 226 m²,"Paris 13 - Patay/Masséna - Maison 1930 6p - Terrasses - Jardin - Cour. Paris 13 - Masséna - En léger retrait de la rue, cette insoupçonnable et agréable maison 1930 a été remaniée avec goût sur 4 niveaux principaux. Accès par le rez-de-chaussée au 1er niveau traversant et astucieusement décloisonné. Double séjour, cuisine US et espace bureau indépendant. Une véranda prolonge l’espace vers une terrasse et un petit jardin arboré sans vis-à-vis dans un environnement calme et lumineux. Au second, 2 belles chambres, dont une avec vue sur jardin, salle de bains avec wc. Au 4ème niveau, mezzanine avec chambre sous combles. Au rez-de chaussée, garage (5ème chambre poss.), cave, 1 grande chambre avec lumière zénithale située sous la terrasse, salle de bains avec douche et wc, espace buanderie, wc indépendant, bureau. Nombreux rangements.
L'ESPACE EXTÉRIEUR : l’espace de vie est prolongé par une agréable terrasse d’environ 23 m² avec petit jardin joliment arboré exposé Nord-Ouest, accessible par la véranda. Abri de jardin.
TERRASSES ET JARDINS - RIVE GAUCHE - Voir le téléphone"
32,32,PA75_33,Paris 14e 75014 (Pernety),"Achat maison 7 pièces 127 m², Paris 14e - 1 625 000 €",1 625 000 €,127 m²,7 pièces,3 chambres,,,,,,"12,8k €/m²",Réf. de l’annonce : 4403594,Publiée le 30 nov. 2020,Modifiée le 5 déc. 2020,Descriptif de cette maison à vendre de 7 pièces et 127 m²,"Exclusivité - Paris 14 - Maison atelier à rénover - ""La campagne à Paris"". Exclusivité - Au sein d'une allée calme et d'un environnement verdoyant, BARNES vous propose en plein cœur du XIVème arrondissement cette charmante maison en pleine propriété à rénover. 

Elle comprend deux corps de bâtiments donnant sur une cour pavée de 30 m2 reliés entre eux de la manière suivante: 

Au rez-de-chaussée : entrée, cuisine, pièce de vie intégrant salon/salle à manger, et des toilettes indépendantes. Puis une salle d'eau nous mène à un atelier prolongé par un bureau sous verrière. 

Au 1er étage : 3 chambres dont une commandée avec un point d'eau. Combles à aménager. 

Cette maison au portail célèbre saura vous séduire par son fort potentiel et son ambiance bucolique. 
Une cave complète ce bien."
33,33,PA75_34,Paris 5e 75005 (Monge - Jussieu),"Achat maison 15 pièces 640 m², Paris 5e - 12 900 000 €",12 900 000 €,640 m²,15 pièces,8 chambres,,,,,,"20,2k €/m²",,Publiée le 19 nov. 2020,Réf. de l’annonce : 248929BCO,Descriptif de cette maison à vendre de 15 pièces et 640 m²,"75005 PARIS Hôtel Particulier avec patio et terrasse.
C'est en plein coeur du quartier latin que se trouve cette demeure historique, emplacement privilégié et très convoité entre la Seine et le boulevard Saint-Germain.
Articulée autour d'un grand patio (couvert par une verrière rétractable), cette propriété unique peut tout aussi bien accueillir une famille et ses invités que des bureaux ou un siège social, usage mixte possible.
Une superficie au sol de 640m2 au sol ( 590m2 habitables), un salon d'accueil, un salon de réception, un salon lecture avec sa terrasse et une agréable vue sur Notre Dame, une grande cuisine dînatoire, un studio de service, huit chambres, sept salles d'eau, plusieurs coins dressings et mezzanines.
Les six niveaux sont desservis par un ascenseur parfaitement intégré. L'ensemble est climatisé.
Dans les caves voûtées, une piscine creusée dans la roche, une salle de sport, un sauna et une magnifique cave à vin aménagée.
Vous serez séduits par le charme non ostentatoire de cette maison d'époque renaissance aux matériaux nobles, aux multiples détails architecturaux et aux illustres prédécesseurs qui font l'âme des lieux.
Interlocuteur unique pour plus de renseignements et la découverte des lieux et un suivi confidentiel : Brice Collard Voir le téléphone .
Prix 12.900.000euros honoraires inclus (charge vendeur).
DPE E, GES F. #bricecollardprestige
Pour plus de renseignements, contacter Brice Collard au Voir le téléphone , conseiller indépendant (agent commercial- RCP MMA 127124335) pour le compte de la SAS Propriétés Privées - Siège social 44 allée des Cinq Continents, ZAC Le Chêne Ferré - Bâtiment C, 44120 Vertou. RCS 487 624 777 - CPI 4401 2016 000 010 388 CCI Nantes Saint Nazaire. Mandat de vente 248929."
34,34,PA75_35,Paris 12e 75012 (Aligre - Gare de Lyon),"Achat maison 10 pièces 145 m², Paris 12e - 3 144 000 €",3 144 000 €,"145,30 m²",10 pièces,7 chambres,,,,,,"20,6k €/m²",Réf. de l’annonce : 508,Publiée le 11 nov. 2020,Modifiée le 4 déc. 2020,Descriptif de cette maison à vendre de 10 pièces et 145 m²,"Maison à usage mixte avec commercialité - Bastille - Surélév. A moins de 5 minutes de Bastille, secteur Quinze-Vingts, au calme, dans une petite rue en sens unique Valeur Immo Paris by KW vous propose cette ravissante maison en copropriété. Actuellement séparé en 2 lots, ce bien comprend un local commercial au RDC non-exploité, anciennement un restaurant bar ainsi qu'un logement en duplex comprenant 7 chambres et 3 salles de bains. Une cave complète ce bien.
Plusieurs possibilités afin d'exploiter tout le potentiel de ce bien : transformation en habitation, investissement en locatif LMNP, surélévation de plusieurs étages, reprise de l'exploitation commerciale.
Annonce publiée par Nicolas BORGE joignable au Voir le téléphone . Valeur Immo Paris, SASU au capital de 5000 euros, RCS Créteil 881107668."
35,35,PA75_36,Paris 19e 75019 (La Villette - Porte de Pantin),"Achat maison 4 pièces 81 m², Paris 19e - 900 000 €",900 000 €,"81,38 m²",4 pièces,2 chambres,1 place de parking,,,,,"11,1k €/m²",Réf. de l’annonce : 2533EP,Publiée le 26 oct. 2020,Modifiée le 26 nov. 2020,Descriptif de cette maison à vendre de 4 pièces et 81 m²,"Maison contemporaine avec terrasse. A l'abri des regards, au calme d'une cour pavée et arborée proche du Canal de l'Ourcq, cette maison de 100m2 au sol (81,38m2 Carrez) est agrémentée d'une terrasse.
Un escalier hélicoïdal de style industriel dessert les 3 niveaux de la maison. Le rez-de-chaussée accueille un séjour avec cuisine ouverte prolongé d'une terrasse privative végétalisée ainsi qu'un wc invités. Au niveau inférieur un espace nuit a été aménagé. A l'étage, sous 4 mètres de hauteur au faîtage, un salon / espace bureau traversant et une salle de bains attenante sont surplombés d'une chambre en mezzanine.
Ce lieu de vie contemporain tourné vers l'extérieur jouit d'une agréable luminosité grâce aux larges baies vitrées.
Un emplacement de parking complète ce bien soumis au statut de la copropriété.
Métro : Ourcq
Contact : Pierre Voir le téléphone
RSAC : 888 495 314 Paris
Copropriété de 157 lots (Pas de procédure en cours).
Charges annuelles : 1260.00 euros."
36,36,PA75_37,Paris 17e 75017 (Ternes - Maillot),"Achat maison 3 pièces 67 m², Paris 17e - 1 090 000 €",1 090 000 €,67 m²,3 pièces,2 chambres,,,,,,"16,3k €/m²",Réf. de l’annonce : 2455EP,Publiée il y a plus de 2 mois,Modifiée le 30 nov. 2020,Descriptif de cette maison à vendre de 3 pièces et 67 m²,"Maison de ville : Nouvelle écriture. Entièrement rénovée par ses propriétaires cette rare maison de ville de 67 m2 (65 m2 Carrez) se niche au coeur et au calme de l'avenue des Ternes.
Un chemin pavé au charme d'antan, bordé de noisetiers, conduit à la bâtisse qui a conservé ses matériaux d'origine. Volets en bois à l'ancienne, cheminée d'époque, parquet en chêne blond et belles hauteurs sous-plafond côtoient les éléments contemporains.
La maison se développe sur trois niveaux qui s'enroulent autour d'un escalier en bois.
Le premier accueille la pièce à vivre où se partagent salon et cuisine.
Aux étages, chaque chambre bénéficie de sa salle d'eau pour l'une ou d'une salle de bains pour l'autre. Des combles restent à aménager.
Bien soumis au régime de copropriété.
Métro Argentine ou Ternes
Contact : Marie-Pierre Voir le téléphone RSAC 809 218 316
Copropriété de 10 lots (Pas de procédure en cours).
Charges annuelles : 1900.00 euros."
37,37,PA75_38,Paris 17e 75017 (Ternes - Maillot),"Achat maison 3 pièces 65 m², Paris 17e - 1 090 000 €",1 090 000 €,65 m²,3 pièces,2 chambres,,,,,,"16,8k €/m²",Réf. de l’annonce : 96,Publiée il y a plus de 2 mois,Modifiée le 26 oct. 2020,Descriptif de cette maison à vendre de 3 pièces et 65 m²,"Maison individuelle - En plein du quartier Ternes. XVIIeme -.' un petit havre de paix '. Achat coup de coeur ! Introuvable et unique à Paris. Absolument introuvable dans cette surface. Très idéalement situé entre l'Avenue des ternes côté F.N.A.C et Pierre Demours. Maison individuelle de 65 m2 en R+2. Dans un îlot de verdure bercé par les petits oiseaux. Baigné de soleil. Calme olympien. La campagne à Paris. RDC : Entrée, cuisine équipée américaine et séjour - 1er étage ; Chambre avec salle de bains indépendante et W.-C. séparé - 2ème étage : Chambre avec salle de bains et WC séparé. Refait à neuf. Exclusivité du Groupe Thisse pour visiter : Voir le téléphone"
38,38,PA75_39,Paris 12e 75012 (Bercy),"Achat maison 4 pièces 100 m², Paris 12e - 1 360 000 €",1 360 000 €,100 m²,4 pièces,2 chambres,,,,,,"13,6k €/m²",Réf. de l’annonce : 2256EP,Publiée il y a plus de 2 mois,Modifiée le 26 oct. 2020,Descriptif de cette maison à vendre de 4 pièces et 100 m²,"Maison ouvrière avec cour. A proximité du Cour Saint Emilion, cette maison en meulière de 100 m2 en pleine propriété a été repensée pour profiter de la cour végétalisée.
Au-rez-de-chaussée, l'entrée ouvre sur une pièce de vie avec cuisine ouverte attenante à la cour.
Au première étage un palier dessert une chambre et une salle de bains avec wc.
Au deuxième et dernier étage une vaste chambre à la charpente apparente pouvant être divisée est éclairée par de nombreuses ouvertures.
Un sous-sol aménagé en bureau composé de deux pièces est agrémenté d'une salle de douche avec toilettes et d'une buanderie. Cet espace bénéficie de deux accès dont un depuis la cour le rendant totalement indépendant.
Cette charmante maison ouvrière à la décoration contemporaine offre un lieu de vie calme et convivial.
Métro : Cour Saint Emilion
Contact : Alexandre Voir le téléphone
RSAC : 788 902 302 Paris"
39,39,PA75_40,Paris 19e 75019 (Secrétan - Jaurès),"Achat maison 3 pièces 47 m², Paris 19e - 577 500 €",577 500 €,"47,03 m²",3 pièces,1 chambre,,,,,,"11,7k €/m²",Réf. de l’annonce : 006909E1LWIQ,Publiée il y a plus de 2 mois,Modifiée le 17 nov. 2020,Descriptif de cette maison à vendre de 3 pièces et 47 m²,"Appartement Paris 3 pièce(s) 47.03 m2. AVENUE SECRETAN - COUP DE COEUR- ATYPIQUE- A proximité du Marché Secrétan, des Commerces et des Transports, AU CALME A l'arrière d'une copropriété verdoyante, se trouve une MAISON ATYPIQUE sur deux niveaux comprenant au rez-de-chaussée, un séjour d'environ 16 m², un bureau, une cuisine, un, WC. A l'étage, une chambre d'environ 13 m², une salle de bains. Local à vélos dans la copropriété.. A VISITER SANS TARDER. RARE SUR LE SECTEUR. EXCLUSIVITÉ. Cliquer sur le lien pour la visite virtuelle"
40,40,PA75_41,Paris 12e 75012 (Bel-Air - Sud),"Achat maison 5 pièces 133 m², Paris 12e - 1 980 000 €",1 980 000 €,133 m²,5 pièces,4 chambres,,Jardin,,,,"14,9k €/m²",Réf. de l’annonce : 2402EP,Publiée il y a plus de 2 mois,Modifiée le 26 oct. 2020,Descriptif de cette maison à vendre de 5 pièces et 133 m²,"Maison de ville avec jardin. A la lisière du bois de Vincennes et à l'abri des regards, cette maison de ville de 133 m2 (121 m2 carrez), profite d'un jardin de 95 m2.
L'entrée mène à la pièce de vie aux volumes généreux de 42 m2, contiguë à la véranda de 14 m2 offrant une vue omniprésente sur la végétation du jardin.
Au même niveau, une cuisine indépendante de 12 m2, une salle de bain, une salle d'eau et une chambre.
Surplombant le séjour, une mezzanine avec espace bibliothèque dessert une chambre éclairée par une fenêtre de toit puis une autre pièce pouvant être utilisé en chambre d'appoint.
Dans le jardin une annexe de 13 m2 totalement aménagée, pouvant devenir un bureau, ou un petit studio indépendant complète ce bien.
Beaux volumes, luminosité et jardin arboré font de cette maison un lieu de vie unique.
Bien soumis au statut de la copropriété.
Métro : Porte dorée
Contact : Alexandre Voir le téléphone
RSAC : 788 902 302
Copropriété de 100,120,140 lots (Pas de procédure en cours).
Charges annuelles : 2916.00 euros."
